example_id                                        | status  | run_time        |
------------------------------------------------- | ------- | --------------- |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:1:1]   | passed  | 0.0016 seconds  |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:1:2]   | passed  | 0.00295 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:1] | passed  | 0.00173 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:2] | passed  | 0.00302 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:3] | passed  | 0.0051 seconds  |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:4] | passed  | 0.0017 seconds  |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:5] | passed  | 0.00228 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:1:6] | passed  | 0.0019 seconds  |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:2:1] | passed  | 0.00395 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:2:3:1] | passed  | 0.00229 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:3:1]   | passed  | 0.0134 seconds  |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:3:2]   | passed  | 0.00194 seconds |
./spec/lib/gmail_oauth2_delivery_spec.rb[1:3:3:1] | passed  | 0.00181 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1]         | passed  | 0.00162 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2]         | passed  | 0.00153 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:3]         | passed  | 0.00146 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:4]         | passed  | 0.00156 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:5]         | passed  | 0.00229 seconds |
./spec/models/comment_spec.rb[1:1:1]              | passed  | 0.00373 seconds |
./spec/models/comment_spec.rb[1:1:2]              | passed  | 0.00076 seconds |
./spec/models/comment_spec.rb[1:2:1]              | passed  | 0.00053 seconds |
./spec/models/comment_spec.rb[1:2:2]              | passed  | 0.00048 seconds |
./spec/models/community_post_spec.rb[1:1:1]       | passed  | 0.00269 seconds |
./spec/models/community_post_spec.rb[1:1:2]       | passed  | 0.02645 seconds |
